bluetooth,color,cpu,front_cam,gpu,link,name,os,pin,port,price,ram,rear_cam,resolution,rom,screensize,screentech,sim,size,status,tech,weight,wifi
,,    Apple A10 Fusion (16 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-10-2-inch-2019-128gb-wifi-4g,iPad 10.2 inch Gen 7 (2019) - 128GB (Wifi+4G) cũ like new 99%,     iPadOS,,,10.990.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,    128GB,,,,,,,,
,,    Apple A10 Fusion,    1.2 MP,,https://www.viettablet.com/ipad-9.7-inch-2018-gen-6-128gb-wifi-4g,iPad 9.7 inch (2018) Gen 6 128GB  (Wifi + 4G),"    iOS 11.3, upgradable to iOS 12.4",,,8.390.000,     2 GB,     8 MP,    1536 x 2048 pixels,    128 GB,,,,,,,,
,,    Apple A14 Bionic (5 nm),"    7 MP, f/2.0",,https://www.viettablet.com/ipad-air-4-2020-64gb-wifi-4g-cu-like-new-99,iPad Air 4 (2020) - 64GB (Wifi),    iPadOS 14,,,14.300.000,,"    12 MP, f/1.8",    1640 x 2360,    64GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-3-64gb,iPad Mini 3 (64GB) 4G + WFI 99%,"    iOS 8.1, upgradable to iOS 12.4",,,5.490.000,    1 GB,    5 MP ,    2048 x 1536 pixels,    64GB,,,,,,,,
,,    Apple A10X Fusion,    7 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-gen-2-2017-64gb-wifi-4g-like-new-99,iPad Pro 12.9 inch GEN 2 (2017) 64GB Wifi / 4G (Like New 99%),"    iOS 10.3.2, upgradable to iOS 12.4",,,12.990.000,    4GB,     12 MP,    2732 x 2048 pixels,    64B,,,,,,,,
,,    Apple A12 Bionic (7 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-gen-8-10.2-inch-2020-32gb-cu-like-new-99,iPad Gen 8 10.2 inch (2020) 32GB (4G - LTE) Like New 99%,    iPadOS 14,,,9.590.000,    3GB,"    8 MP, f/2.4, 31mm",    1620 x 2160 pixel,     32 GB,,,,,,,,
,,    Apple A10 Fusion (16 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-10.2-inch-gen-7-2019-128gb-wifi-ll,iPad 10.2 inch Gen 7 (2019) - 128GB (Wifi),     iPadOS,,,9.790.000,     3 GB,"     8 MP, f/2.4, 31mm (standard), 1.12µm, AF",    1620 x 2160 pixels,    128GB,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-11-2018-256gb-4g,iPad Pro 11 inch (2018) 256GB Wifi / 4G,"    iOS 12, upgradable to iOS 12.4",,,22.990.000,    4GB,     12 MP,    1668 x 2388 pixels,    256GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-3-128gb,iPad Mini 3 (128GB) 99%,"    iOS 8.1, upgradable to iOS 12.4",,,5.290.000,    1 GB,    5 MP ,    2048 x 1536 pixels,    128 GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-2-retina-16gb-wifi-4g-trang,iPad Mini 2 Retina 64GB Wifi 4G Cũ Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,4.590.000,    1 GB,    5 MP ,    2048 x 1536 pixels,    64 GB,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-11-inch-2020-wifi-4g-128gb,iPad Pro 11 inch (2020) 128GB (Wifi + 4G) Chính hãng VN,    iPadOS 14,,,24.490.000,    6 GB,    3 ống kính,    1668 x 2388 pixels,     128 GB,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-3-16gb-wifi-cu-like-new-99,iPad Mini 3 16GB Wifi Cũ Like New 99%,"    iOS 8.1, upgradable to iOS 12.4",,,3.990.000,    1 GB,    5 MP ,    1536 x 2048 pixels,    16 GB,,,,,,,,
,,    Apple A12 Bionic (7 nm),"    1.2 MP, f/2.2, 31mm (standard)",,https://www.viettablet.com/ipad-gen-8-10.2-inch-2020-128gb,iPad Gen 8 10.2 inch (2020) 128GB (Wifi) VN/A,    iPadOS 14,,,10.690.000,    3GB,"    8 MP, f/2.4, 31mm",    1620 x 2160 pixel,     128 GB,,,,,,,,
,,    Apple A12Z Bionic,"    7 MP, f/2.2",,https://www.viettablet.com/ipad-pro-12.9-inch-2020-wifi-6gb-256gb,iPad Pro 12.9 inch (2020) 256GB (Wifi) Chính Hãng VN/A,    iPadOS 14,,,27.450.000,    6 GB,    3 ống kính,    2048 x 2732 pixels,    256GB,,,,,,,,
,,     Apple A9,    1.2 MP,,https://www.viettablet.com/ipad-2017-128gb,iPad 9.7 inch 128GB (2017) Gen 5 (4G + Wifi) cũ like new 99%,"    iOS 10.3, upgradable to iOS 12.4",,,7.090.000,     2 GB,    8 MP,     1536 x 2048 pixels,    128 GB,,,,,,,,
,,    Apple A9X ,     5 MP,,https://www.viettablet.com/ipad-pro-97-inch-256gb,iPad Pro 9.7 inch (2016) 256GB Like New 99% (4G + Wifi),"    iOS 9.3.2, upgradable to iOS 12.4",,,9.290.000,    2GB,     12 MP,    1536 x 2048 pixels,    256GB,,,,,,,,
,,,,,https://www.viettablet.com/samsung-galaxy-tab-a-8-0-2018,Samsung Galaxy Tab A 8.0 (Công Ty),,,,3.590.000,,,,,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-mini-2-32gb-4g,iPad Mini 2 Retina 32GB Wifi + 4G Like New,"    iOS 7, upgradable to iOS 12.4",,,3.890.000,    1 GB,    5 MP ,    2048 x 1536 pixels,    32 GB,,,,,,,,
,,    Apple A12 Bionic 6 nhân,    7 MP,,https://www.viettablet.com/ipad-air-3-10.5-inch-2019-3gb-256gb-like-new-99,iPad Air 3 10.5 inch (2019) Wifi/4G 256GB Like New 99%,    iOS 12,,,13.290.000,    3GB,    8 MP,    2224 x 1668 pixels,    256GB,,,,,,,,
,,,,,https://www.viettablet.com/new-kindle-paperwhite,New Kindle Paperwhite 2015,,,,3.330.000,,,,,,,,,,,,
,,    Apple A7,    1.2 MP,,https://www.viettablet.com/ipad-air-32gb-wifi-cu-like-new-99,iPad Air 32GB Wifi Cũ Like New 99%,"    iOS 7, upgradable to iOS 12.4",,,4.690.000,    1 GB,    5 MP ,    1536 x 2048 pixels,     32 GB,,,,,,,,
,,    Apple A12X Bionic,    7 MP,,https://www.viettablet.com/ipad-pro-12.9-inch-2018-wifi-4gb-256gb-like-new,iPad Pro 12.9 inch (2018) Wifi 256GB Like New 99%,"    iOS 12, upgradable to iOS 12.4",,,19.990.000,    4GB,     12 MP,    2048 x 2732 pixels,    256GB,,,,,,,,
,,    Apple A14 Bionic (5 nm),"    7 MP, f/2.0",,https://www.viettablet.com/ipad-air-4,iPad Air 4 (2020) 64GB (Wifi + 4G) Chính Hãng VN,    iPadOS 14,,,18.590.000,,"    12 MP, f/1.8",    1640 x 2360,    64GB,,,,,,,,
